name,default_name,is_team
Daimajin,Daimajin,f
Roland Deschain,Roland Deschain,f
Gunslinger,Gunslinger,f
Man in Black,Man in Black,f
Dinoshark,Dinoshark,f
Man with No Name,The Man with No Name,f
Aaron Brand,Aaron Brand,f
Amethyst,Amethyst,f
Goku,Goku,f
Piccolo,Piccolo,f
Draco,Draco,f
Drillbit Taylor,Drillbit Taylor,f
Rita Vrataski,Rita Vrataski,f
Full Metal Bitch,The Full Metal Bitch,f
Max Da Costa,Max Da Costa,f
Snake Plissken,Snake Plissken,f
Ash Williams,Ash Williams,f
Newt Scamander,Newt Scamander,f
Noob Saibot,Noob Saibot,f
Victor Von Doom,Doctor Doom,f
Doom,Doom,f
Reed Richards,Reed Richards,f
(Mister|Mr)\.* Fantastic,Reed Richards,f
(Susan|Sue) Storm,Susan Storm,f
Invisible Woman,Susan Storm,f
Human Torch,Human Torch,f
Ben Grimm,Ben Grimm,f
Thing,Thing,f
Bismuth,Bismuth,f
Ron Strickland,Ron Strickland,f
Flash Gordon,Flash Gordon,f
Jatt,Jatt,f
Forrest Gump,Forrest Gump,f
Blue ?(and ?)?/? ?(or )?(Yellow )?Diamond,Blue Diamond,f
Roy Burns,Roy Burns,f
Edward Elric,Edward Elric,f
Edward,Edward,f
G(-| )Force,G-Force,f
Darwin,Darwin,f
Blaster,Blaster,f
Juarez,Juarez,f
Hurley,Hurley,f
Mooch,Mooch,f
Cockroaches,Cockroaches,f
Coffee (Maker|Machine),Coffee Maker,f
The Major,The Major,f
Corrupted Jaspers?,Corrupted Jaspers,f
Diamond Ships?,Diamond Ships,f
Snake Eyes,Snake Eyes,f
Storm Shadow,Storm Shadow,f
The Giant Claw,The Giant Claw,f
Maximus,Maximus,f
Maximus Decimus Meridius,Maximus Decimus Meridius,f
Set,Set,f
The Golden Child,The Golden Child,f
Iorek Byrnison,Iorek Byrnison,f
Oddjob,Oddjob,f
The Golem,The Golem,f
Greasy Strangler,The Greasy Strangler,f
Big Ronnie,The Greasy Strangler,f
William Garin,William Garin,f
Kato,Kato,f
Diamonds' Ships?,Diamond Ships,f
Garnet,Garnet,f
The Guardians,The Guardians,f
Gem Scouting Ship,Gem Scouting Ship,f
Ler,Ler,f
Ursus,Ursus,f
Xenia,Xenia,f
Khan,Khan,f
David Collins,David Collins,f
Hancock,Hancock,f
Hansel (&|and) Gretel,Hansel & Gretel,f
Gretel,Gretel,f
Hansel,Hansel,f
Hardcore Henry,Hardcore Henry,f
Veronica Sawyer,Veronica Sawyer,f
JD,JD,f
Jason Dean,Jason Dean,f
Pinhead,Pinhead,f
Jack,Jack,f
Cain,Cain,f
Hercules,Hercules,f
Smaug,Smaug,f
Kevin McCallister,Kevin McCallister,f
Kevin,Kevin,f
Peter Pan,Peter Pan,f
Nicholas Angel,Sgt. Nicholas Angel,f
Scouting Ship,Scouting Ship,f
The Gods,The Gods,f
Hades,Hades,f
Ghost ?Rider,Ghost Rider,f
Drones,Drones,f
Jason Voo?rhee?s,Jason Voorhees,f
Alphonse Elric,Alphonse Elric,f
Xeno(m|n)orphs?,Xenomorphs,f
Kanan Jarrus,Kanan Jarrus,f
